"Date","Post ID","Network","Post Type","Content Type","Profile","Sent by","Link","Post","Linked Content","Impressions","Organic Impressions","Paid Impressions","Reach","Organic Reach","Paid Reach","Potential Reach","Engagement Rate (per Impression)","Engagements","Reactions","Likes","Dislikes","Love Reactions","Haha Reactions","Wow Reactions","Sad Reactions","Angry Reactions","Comments","Shares","Saves","Post Link Clicks","SproutLink Clicks","Other Post Clicks","Post Clicks (All)","Other Engagements","Subscribers Gained from Video","Annotation Clicks","Card Clicks","Video Views","Organic Video Views","Paid Video Views","Partial Video Views","Organic Partial Video Views","Paid Partial Video Views","Full Video Views","Organic Full Video Views","Paid Full Video Views","Full Video View Rate","Follow Video Views","For You Video Views","Hashtag Video Views","Business Account Video Views","Others Video Views","Search Video Views","Sound Video Views","Unspecified Video Views","Estimated Minutes Watched","Story Taps Back","Story Taps Forward","Story Exits","Story Replies","Video Added to Playlists","Subscribers Lost from Video","Video Removed from Playlists","Average Video Time Watched (Seconds)","Poll Votes","Tags"
"1/31/2025 1:56 pm","18023239451347770","Instagram","Post","Photo","wichitastateu"," ","https://www.instagram.com/p/DFgKJmyvyMj/","We are deeply heartbroken to share with our community and friends that Kiah Duggins was aboard American Airlines Flight 5342 from Wichita, Kansas, to Washington, D.C.

Kiah was a proud alumna of the Barton School of Business and Fairmount College of Liberal Arts and Sciences, graduating in the spring of 2017 with degrees in International Business, Economics, and Spanish. A recipient of the prestigious Clay Barton Scholarship in 2013, she joined a distinguished group of exceptionally talented students. During her time at Wichita State, Kiah co-founded the Shocker Food Locker, an initiative that continues to support students facing food insecurity. Her unwavering commitment to building more equitable communities is a legacy we can all carry forward within Shocker Nation.

Born and raised in Wichita, Kiah was the daughter of Dr. Maurice and Gwen Duggins, who instilled in her a deep commitment to social justice through their own dedication to serving underserved communities in education and healthcare. After graduating from Wichita State, she went on to earn her J.D. from Harvard Law School, where she served as President of the Harvard Legal Aid Bureau. It was no surprise that after law school, Kiah became an attorney with the Civil Rights Corps in Washington, D.C., continuing her family’s legacy of advocacy and service.

During her tenure as an attorney, Kiah litigated on behalf of movements challenging unconstitutional policing and money bail practices. She studied prison industrial complex abolition and movement lawyering as a Law 4 Black Lives Fellow and integrated those concepts into her daily work. 

Her family remains active in the Wichita community, and this tragedy has profoundly impacted all who knew her. Today, we mourn the loss of one of our own. To those who had the privilege of knowing Kiah, our hearts are with you during this incredibly difficult time.

Kiah was a beacon of light, a testament to perseverance, and an inspiration to all who dream big and work tirelessly to achieve their goals. We hope her legacy continues to inspire our students, serving as a reminder of what is possible through determination, passion, and purpose.",,"58,324","58,324","","42,881","42,881","","","6.32%","3,685","3,333","3,333","","","","","","","27","283","42","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2/11/2025 9:00 pm","18092426359533960","Instagram","Post","Carousel","wichitastateu"," ","https://www.instagram.com/p/DF9PdFvsQQg/","𝗥𝗲𝗺𝗲𝗺𝗯𝗲𝗿𝗶𝗻𝗴 𝘁𝗵𝗼𝘀𝗲 𝗹𝗼𝘀𝘁 𝗶𝗻 𝘁𝗵𝗲 𝗝𝗮𝗻. 𝟮𝟵 𝗽𝗹𝗮𝗻𝗲 𝗰𝗿𝗮𝘀𝗵 — 𝗮 𝗹𝗲𝘁𝘁𝗲𝗿 𝗳𝗿𝗼𝗺 𝗪𝗦𝗨 𝗣𝗿𝗲𝘀𝗶𝗱𝗲𝗻𝘁 𝗥𝗶𝗰𝗸 𝗠𝘂𝗺𝗮.",,"35,198","35,198","","19,961","19,961","","","5.57%","1,960","1,805","1,805","","","","","","","5","110","40","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10/6/2025 10:18 am","18082950472786067","Instagram","Post","Photo","wichitastateu","Tate Penner","https://www.instagram.com/p/DPePeUhDJQa/","🎉 Big news from the WSU Physician Associate Program—the Class of 2025 reached a 100% PANCE pass rate—well above the national average of 93%

PANCE, the Physician Associate National Certifying Examination, is the key certification exam for Physician Associates—and our students crushed it 🙌 #PAweek #PAsGoBeyond

And yes, we’re tagging basically everyone in this photo 👇📸
@macannderson
@ellabahr
@megster1618
@brittyn10
@sophinator_13
@linnea_butler
@ryleeecoalson
@cruzzz_02
@katiedunlop16
@grace__garcia
@jorgeg0415
@hamiltonmaggie_
@halieharrington
@delaneyhenderson_
@chad_izzo10
@em_koch23
@karly__nicole_
@tayloralyssa7
@macey.maloney
@paige_meats
@_juliet_nava_
@anikahartley_
@msruland
@michellenschlesinger
@myraendrop
@ashlyn_.rohling
@nikitatapiawala
@ryanjweishaar
@shelbaby2324
@nora_wheatley
@tasneimjesri
@tahmyy",,"83,143","83,143","","37,982","37,982","","","2.21%","1,838","1,654","1,654","","","","","","","4","145","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Health Professions"
"8/15/2025 10:30 am","18144376444407944","Instagram","Post","Carousel","wichitastateu"," ","https://www.instagram.com/p/DNYXi4DScPp/","The annual NXT LVL Garage Party is tomorrow night, Shockers! Come for free food, games, live music and prizes. Free T-shirts while supplies last.

⏰9pm-midnight 
🗓️Saturday, Aug. 16 
📍Parking garage, by RSC
🎒Clear bags only",,"54,127","54,127","","18,030","18,030","","","3.24%","1,752","1,341","1,341","","","","","","","5","367","39","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3/10/2025 9:16 am","18035446241570983","Instagram","Post","Photo","wichitastateu"," ","https://www.instagram.com/p/DHBZcajM3u7/","Big news for research at Wichita State!

With a generous $1 million lead gift from Lynn and Sherry Nichols, we’re excited to launch efforts to build the new, state-of-the-art Shocker Fly Lab — an enclosed flight space designed for UAV research, design and testing. 

The enclosed flight space will position WSU at the forefront of unmanned aerial system education and innovation. The space will bring hands-on learning for students, industry-sponsored competitions and groundbreaking faculty research.
 
Want to be part of the future of flight? Learn more at the 🔗 link in bio.",,"22,253","22,253","","13,764","13,764","","","6.38%","1,419","1,138","1,138","","","","","","","15","236","30","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Alumni/Donors, Engineering"
"9/4/2025 7:10 pm","18108855424548425","Instagram","Post","Photo","wichitastateu","Lainie Mazzullo","https://www.instagram.com/p/DOMy7D9D7X6/","⛈️ Amazing shot of last night's intense storms over campus! 

📸 @gra.cyn0",,"26,028","26,028","","8,585","8,585","","","4.93%","1,283","1,145","1,145","","","","","","","2","109","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8/18/2025 7:10 pm","18380333875124514","Instagram","Post","Carousel","wichitastateu","Lainie Mazzullo","https://www.instagram.com/p/DNhBc4ntXY6/","There’s nothing like the energy of a new semester. Welcome home, Shockers!",,"38,289","38,289","","9,614","9,614","","","3.31%","1,266","1,152","1,152","","","","","","","9","95","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11/24/2025 9:48 am","18086213351060578","Instagram","Post","Carousel","wichitastateu","Tate Penner","https://www.instagram.com/p/DRcd4y3DcNf/","Millie the Millipede’s in her cozy era 🧣🧤",,"26,690","26,690","","9,002","9,002","","","4.48%","1,196","1,043","1,043","","","","","","","7","132","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Community Engagement, WSU Views"
"8/26/2025 1:38 pm","18058396385106451","Instagram","Post","Carousel","wichitastateu","Lainie Mazzullo","https://www.instagram.com/p/DN1By6ZUmBj/","Hey @taylorswift and @killatrav 💍 — we’ve got some stunning spots right here at Wichita State. Wichita isn’t far from Kansas City! 🌾",,"34,962","34,962","","10,812","10,812","","","3.39%","1,185","1,047","1,047","","","","","","","5","119","14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"12/21/2025 10:25 am","17993619506902915","Instagram","Post","Carousel","wichitastateu","Tate Penner","https://www.instagram.com/p/DSiDldOjSev/","Katie Galligan came to WSU from Omaha, Nebraska, drawn by the @goschockersvb culture. She earned her health sciences degree with minors in marketing and management and achieved 2025 Academic All-District honors with a 3.92 GPA. Her skills on the court helped the Shockers win a conference title and compete in the 2024 NCAA Tournament. Next up, she’ll play beach volleyball at Palm Beach Atlantic University (@pbauniversity) while pursuing her MBA. #ShockerGrad 🎓🌾",,"40,424","40,424","","17,207","17,207","","","2.91%","1,176","1,151","1,151","","","","","","","5","12","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Alumni/Donors, Student Life"
