Date,Network,Post Type,Content Type,Linked Content,Impressions,Organic Impressions,Paid Impressions,Reach,Organic Reach,Paid Reach,Potential Reach,Engagement Rate (per Impression),Engagements,Reactions,Likes,Dislikes,Love Reactions,Haha Reactions,Wow Reactions,Sad Reactions,Angry Reactions,Comments,Shares,Saves,Post Link Clicks,SproutLink Clicks,Other Post Clicks,Post Clicks (All),Other Engagements,Subscribers Gained from Video,Annotation Clicks,Card Clicks,Video Views,Organic Video Views,Paid Video Views,Partial Video Views,Organic Partial Video Views,Paid Partial Video Views,Full Video Views,Organic Full Video Views,Paid Full Video Views,Full Video View Rate,Follow Video Views,For You Video Views,Hashtag Video Views,Business Account Video Views,Others Video Views,Search Video Views,Sound Video Views,Unspecified Video Views,Estimated Minutes Watched,Story Taps Back,Story Taps Forward,Story Exits,Story Replies,Video Added to Playlists,Subscribers Lost from Video,Video Removed from Playlists,Average Video Time Watched (Seconds),Poll Votes,Tags
1/31/25 13:56,Instagram,Post,Photo,,"58,324","58,324",,"42,881","42,881",,,6.32%,"3,685","3,333","3,333",,,,,,,27,283,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2/11/25 21:00,Instagram,Post,Carousel,,"35,198","35,198",,"19,961","19,961",,,5.57%,"1,960","1,805","1,805",,,,,,,5,110,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10/6/25 10:18,Instagram,Post,Photo,,"83,143","83,143",,"37,982","37,982",,,2.21%,"1,838","1,654","1,654",,,,,,,4,145,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Health Professions
8/15/25 10:30,Instagram,Post,Carousel,,"54,127","54,127",,"18,030","18,030",,,3.24%,"1,752","1,341","1,341",,,,,,,5,367,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3/10/25 9:16,Instagram,Post,Photo,,"22,253","22,253",,"13,764","13,764",,,6.38%,"1,419","1,138","1,138",,,,,,,15,236,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alumni/Donors, Engineering"
9/4/25 19:10,Instagram,Post,Photo,,"26,028","26,028",,"8,585","8,585",,,4.93%,"1,283","1,145","1,145",,,,,,,2,109,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8/18/25 19:10,Instagram,Post,Carousel,,"38,289","38,289",,"9,614","9,614",,,3.31%,"1,266","1,152","1,152",,,,,,,9,95,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/24/25 9:48,Instagram,Post,Carousel,,"26,690","26,690",,"9,002","9,002",,,4.48%,"1,196","1,043","1,043",,,,,,,7,132,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Community Engagement, WSU Views"
8/26/25 13:38,Instagram,Post,Carousel,,"34,962","34,962",,"10,812","10,812",,,3.39%,"1,185","1,047","1,047",,,,,,,5,119,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12/21/25 10:25,Instagram,Post,Carousel,,"40,424","40,424",,"17,207","17,207",,,2.91%,"1,176","1,151","1,151",,,,,,,5,12,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Alumni/Donors, Student Life"
1/6/25 13:21,Instagram,Post,Carousel,,"14,098","14,098",,"7,953","7,953",,,8.10%,"1,142","1,094","1,094",,,,,,,1,42,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WSU Views
8/26/25 12:34,Instagram,Post,Carousel,,"45,624","45,624",,"12,462","12,462",,,2.45%,"1,118",981,981,,,,,,,1,109,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11/13/25 10:58,Instagram,Post,Carousel,,"55,721","55,721",,"16,869","16,869",,,1.96%,"1,094",878,878,,,,,,,12,193,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
